Year,Marketcap,Change
2025,$3.84 B,4.35%
2024,$3.68 B,-24.18%
2023,$4.85 B,-6.86%
2022,$5.21 B,-23.92%
2021,$6.85 B,-2.59%
2020,$7.03 B,-4.21%
2019,$7.34 B,21.12%
2018,$6.06 B,-32.52%
2017,$8.98 B,61.18%
2016,$5.57 B,-10.22%
2015,$6.20 B,14.79%
2014,$5.40 B,-7.67%
2013,$5.85 B,54.81%
2012,$3.78 B,29.8%
2011,$2.91 B,-34.94%
2010,$4.48 B,71.17%
2009,$2.61 B,
