Year,Marketcap,Change
2025,$2.52 B,13.69%
2024,$2.21 B,-38.39%
2023,$3.59 B,1.48%
2022,$3.54 B,-18.86%
2021,$4.36 B,-4.68%
2020,$4.58 B,
