Year,Marketcap,Change
2025,$8.59 B,10.74%
2024,$7.76 B,-45.13%
2023,$14.15 B,-22.45%
2022,$18.24 B,-40.12%
2021,$30.47 B,83.58%
2020,$16.59 B,89.51%
2019,$8.75 B,71.65%
2018,$5.10 B,6.21%
2017,$4.80 B,14.78%
2016,$4.18 B,12.21%
2015,$3.73 B,30.55%
2014,$2.85 B,14.58%
2013,$2.49 B,56.85%
2012,$1.58 B,8.32%
2011,$1.46 B,2.63%
2010,$1.43 B,56.21%
2009,$0.91 B,71.91%
2008,$0.53 B,-53.05%
2007,$1.13 B,-28.05%
2006,$1.57 B,777.16%
2005,$0.17 B,-72.37%
2004,$0.65 B,56.45%
2003,$0.41 B,
