Year,Marketcap,Change
2025,$0.41 B,21.74%
2024,$0.34 B,-30.99%
2023,$0.49 B,-3.32%
2022,$0.51 B,118.05%
2021,$0.23 B,39.15%
2020,$0.16 B,-2.5%
2019,$0.17 B,-5.22%
2018,$0.18 B,-61.83%
2017,$0.47 B,85.35%
2016,$0.25 B,-4.55%
2015,$0.27 B,-56.25%
2014,$0.61 B,-45.25%
2013,$1.13 B,-3.45%
2012,$1.17 B,264.35%
2011,$0.32 B,7.06%
2010,$0.30 B,118.2%
2009,$0.13 B,67.44%
2008,$82.2 M,-72.69%
2007,$0.30 B,85.16%
2006,$0.16 B,67.23%
2005,$97.21 M,18.45%
2004,$82.06 M,-68.36%
2003,$0.25 B,
