Year,Marketcap,Change
2025,$1.28 B,4.57%
2024,$1.22 B,-26.97%
2023,$1.67 B,35.5%
2022,$1.23 B,-19.21%
2021,$1.53 B,16.55%
2020,$1.31 B,0.85%
2019,$1.30 B,5.44%
2018,$1.23 B,-1%
2017,$1.24 B,-3.93%
2016,$1.30 B,30.09%
2015,$0.99 B,-3.9%
2014,$1.04 B,-15.56%
2013,$1.23 B,-3.8%
2012,$1.28 B,-8.71%
2011,$1.40 B,-21.68%
2010,$1.79 B,-8.28%
2009,$1.95 B,-6.54%
2008,$2.08 B,3.08%
2007,$2.02 B,34.34%
2006,$1.50 B,40.39%
2005,$1.07 B,
