Year,Marketcap,Change
2025,$0.16 B,15.5%
2024,$0.14 B,-15.77%
2023,$0.16 B,12.77%
2022,$0.14 B,-10.32%
2021,$0.16 B,-9.35%
2020,$0.18 B,-23.95%
2019,$0.23 B,-5.8%
2018,$0.25 B,-6.66%
2017,$0.27 B,16.88%
2016,$0.23 B,-14.7%
2015,$0.27 B,65.25%
2014,$0.16 B,37.29%
2013,$0.11 B,8.56%
2012,$0.11 B,59.77%
2011,$69.13 M,13.1%
2010,$61.12 M,20.6%
2009,$50.68 M,14.41%
2008,$44.29 M,-12.85%
2007,$50.83 M,48.13%
2006,$34.31 M,9.7%
2005,$31.28 M,3.59%
2004,$30.19 M,30.94%
2003,$23.06 M,
