Year,Marketcap,Change
2025,$0.63 B,26.83%
2024,$0.50 B,-28.54%
2023,$0.70 B,-1.56%
2022,$0.71 B,8.54%
2021,$0.65 B,28.87%
2020,$0.51 B,1.97%
2019,$0.50 B,10.8%
2018,$0.45 B,6.5%
2017,$0.42 B,-7.29%
2016,$0.45 B,-2%
2015,$0.46 B,36.09%
2014,$0.34 B,-8.98%
2013,$0.37 B,0.11%
2012,$0.37 B,4.52%
2011,$0.36 B,-10.25%
2010,$0.40 B,49.04%
2009,$0.26 B,16.68%
2008,$0.23 B,-5.01%
2007,$0.24 B,7.47%
2006,$0.22 B,48.33%
2005,$0.15 B,12.74%
2004,$0.13 B,95.95%
2003,$69.09 M,
