Year,Marketcap,Change
2025,$6.20 B,25.43%
2024,$4.95 B,42.91%
2023,$3.46 B,31.39%
2022,$2.63 B,-20.51%
2021,$3.31 B,-7.18%
2020,$3.57 B,
