Year,Marketcap,Change
2025,$21.12 B,11.66%
2024,$18.91 B,-11.93%
2023,$21.47 B,32.08%
2022,$16.26 B,-44.42%
2021,$29.25 B,30.64%
2020,$22.39 B,10.91%
2019,$20.19 B,44.14%
2018,$14.00 B,-13.18%
2017,$16.13 B,9.15%
2016,$14.78 B,16.28%
2015,$12.71 B,-0.96%
2014,$12.83 B,12.01%
2013,$11.45 B,33.76%
2012,$8.56 B,15.45%
2011,$7.42 B,-18.88%
2010,$9.14 B,31.73%
2009,$6.94 B,64.38%
2008,$4.22 B,-26.33%
2007,$5.73 B,
