Year,Marketcap,Change
2025,$1.17 B,31.13%
2024,$0.89 B,-27.26%
2023,$1.23 B,17.33%
2022,$1.05 B,-37.49%
2021,$1.68 B,170.99%
2020,$0.62 B,17.19%
2019,$0.53 B,-19.84%
2018,$0.66 B,
