Year,Marketcap,Change
2025,$4.77 B,8.67%
2024,$4.39 B,12.17%
2023,$3.91 B,32.52%
2022,$2.95 B,27.64%
2021,$2.31 B,17.82%
2020,$1.96 B,2.19%
2019,$1.92 B,13.37%
2018,$1.69 B,-44.35%
2017,$3.04 B,230.51%
2016,$0.92 B,-43.28%
2015,$1.62 B,-8.24%
2014,$1.77 B,-16.74%
2013,$2.12 B,41.35%
2012,$1.50 B,48.19%
2011,$1.01 B,-44.77%
2010,$1.83 B,-9.32%
2009,$2.02 B,-22.89%
2008,$2.62 B,-55.39%
2007,$5.89 B,6.68%
2006,$5.52 B,41.65%
2005,$3.90 B,
