Year,Marketcap,Change
2025,$2.69 B,-5.36%
2024,$2.84 B,-18.8%
2023,$3.50 B,63.8%
2022,$2.13 B,-40.26%
2021,$3.57 B,60.07%
2020,$2.23 B,
