Year,Marketcap,Change
2025,$0.22 B,36.41%
2024,$0.16 B,-62.43%
2023,$0.44 B,-82.54%
2022,$2.57 B,-28.77%
2021,$3.60 B,-25.11%
2020,$4.81 B,
