Year,Marketcap,Change
2025,$18.01 B,-8.04%
2024,$19.59 B,0.78%
2023,$19.44 B,34.05%
2022,$14.50 B,-40.57%
2021,$24.40 B,48.4%
2020,$16.44 B,13.23%
2019,$14.52 B,36.22%
2018,$10.66 B,4.94%
2017,$10.15 B,28.19%
2016,$7.92 B,-6.63%
2015,$8.48 B,-14.96%
2014,$9.98 B,9.87%
2013,$9.08 B,22.63%
2012,$7.40 B,6.64%
2011,$6.94 B,-18.5%
2010,$8.52 B,76.79%
2009,$4.82 B,
