symbol,year,z_score,distressed,totalCurrentAssets,totalAssets,retainedEarnings,ebitda,depreciationAndAmortization_income_statement,totalLiabilities,marketcap,revenue
AFP.SW,2023,2.05,0,184141000.0,475315000.0,84045000.0,43507000,22312000.0,280734000.0,180000000.0,381503000
AFP.SW,2022,2.36,0,175962000.0,448039000.0,60816000.0,42053000,24740000.0,255645000.0,330000000.0,357409000
AFP.SW,2021,3.96,0,121946000.0,301663000.0,41529000.0,37051000,22883000.0,120087000.0,450000000.0,266168000
AFP.SW,2020,5.36,0,135900000.0,282716000.0,27316000.0,32148000,18977000.0,108448000.0,660000000.0,239492000
AMS.SW,2024,0.64,0,2743000000.0,6903000000.0,-2064000000.0,976000000,942000000.0,5668000000.0,670000000.0,3428000000
AMS.SW,2023,0.3,0,2620000000.0,7401000000.0,-1289000000.0,471000000,1892000000.0,5496000000.0,2470000000.0,3590000000
AMS.SW,2022,1.12,0,2884000000.0,8832000000.0,358000000.0,855000000,1018000000.0,5999000000.0,1900000000.0,4819000000
AMS.SW,2021,1.56,0,3282000000.0,9644000000.0,877000000.0,938000000,760000000.0,6494000000.0,4740000000.0,5038000000
AAM.SW,2024,2.18,0,19660000000.0,64866000000.0,36744000000.0,3320000000,3072000000.0,36333000000.0,35670000000.0,27290000000
AAM.SW,2023,2.44,0,17327000000.0,66544000000.0,40860000000.0,7270000000,2685000000.0,34927000000.0,33600000000.0,30652000000
AAM.SW,2022,3.23,0,19936000000.0,67407000000.0,42411000000.0,13336000000,2446000000.0,33383000000.0,52440000000.0,35118000000
AAM.SW,2021,3.81,0,18973000000.0,65985000000.0,41716000000.0,20778000000,2715000000.0,31215000000.0,54620000000.0,41554000000
APGN.SW,2023,7.13,0,116866000.0,191110000.0,69268000.0,42142000,10191000.0,107252000.0,650000000.0,325632000
APGN.SW,2022,6.57,0,108941000.0,189406000.0,75393000.0,40108000,10838000.0,98182000.0,520000000.0,310600000
APGN.SW,2021,6.16,0,128588000.0,215533000.0,84954000.0,25834000,10484000.0,113806000.0,650000000.0,266144999
APGN.SW,2020,6.16,0,121224000.0,205255000.0,72291000.0,26968000,10553000.0,115845000.0,660000000.0,261904000
ARBN.SW,2023,2.08,0,770243000.0,1482578000.0,341126000.0,62065000,77813000.0,561607000.0,780000000.0,504605000
ARBN.SW,2022,2.55,0,422748000.0,1519512000.0,352731000.0,44915000,37312000.0,531970000.0,960000000.0,1202097000
ARBN.SW,2021,3.19,0,593134000.0,1623296000.0,360056000.0,123034000,71390000.0,578954000.0,1550000000.0,1186177000
ARBN.SW,2020,2.52,0,597104000.0,1515170000.0,200011000.0,112315000,62420000.0,621955000.0,1110000000.0,1038421000
ARYN.SW,2024,1.55,0,362400000.0,1911000000.0,-1234800000.0,341000000,130900000.0,1458900000.0,1740000000.0,2194500000
ARYN.SW,2023,1.99,0,427500000.0,1966900000.0,-754900000.0,280400000,127500000.0,1173600000.0,1830000000.0,2123200000
ARYN.SW,2022,0.95,0,521600000.0,2082600000.0,-1316400000.0,170300000,123800000.0,1150200000.0,1180000000.0,1756100000
ARYN.SW,2021,1.06,0,518700000.0,2063699999.0,-1095700000.0,182900000,183900000.0,961600000.0,1230000000.0,1525400000
ASCN.SW,2023,5.07,0,145500000.0,197200000.0,76600000.0,31300000,9900000.0,118500000.0,350000000.0,297300000
ASCN.SW,2022,4.01,0,85900000.0,201800000.0,65800000.0,25900000,9900000.0,128400000.0,280000000.0,297400000
ASCN.SW,2021,5.54,0,147400000.0,194700000.0,63600000.0,28800000,12900000.0,114700000.0,460000000.0,291500000
ASCN.SW,2020,5.13,0,136500000.0,203100000.0,50100000.0,25200000,13900000.0,132000000.0,530000000.0,281000000
AUTN.SW,2023,2.81,0,692500000.0,1671200000.0,296700000.0,221700000,126000000.0,1134300000.0,940000000.0,2302300000
AUTN.SW,2022,2.27,0,601100000.0,1497600000.0,243200000.0,149600000,116400000.0,1065599999.0,510000000.0,1804500000
AUTN.SW,2021,2.37,0,555400000.0,1532900000.0,244000000.0,181500000,122300000.0,1081700000.0,860000000.0,1700400000
AUTN.SW,2020,2.03,0,800800000.0,1827800000.0,193700000.0,143100000,120300000.0,1414200000.0,850000000.0,1740600000
AVOL.SW,2023,1.0,0,2477100000.0,16514900000.0,-4386600000.0,2471300000,1639400000.0,14019600000.0,5890000000.0,12789600000
AVOL.SW,2022,0.95,0,2334900000.0,9309600000.0,-3598900000.0,1618800000,1111500000.0,8343500000.0,3780000000.0,6878400000
AVOL.SW,2021,0.39,0,1977800000.0,9990400000.0,-3683100000.0,1128200000,1210000000.0,8955900000.0,4480000000.0,3915400000
AVOL.SW,2020,-0.47,0,1387000000.0,11255000000.0,-3323200000.0,-807800000,1648700000.0,10337000000.0,5050000000.0,2561100000
BANB.SW,2024,7.08,0,822792000.0,1922971000.0,801980000.0,178521000,43262000.0,531882000.0,4820000000.0,605259000
BANB.SW,2023,11.37,0,841531000.0,1682880000.0,710323000.0,163276000,33896000.0,362357000.0,5790000000.0,577316000
BANB.SW,2022,19.79,0,760420000.0,1383869000.0,626957000.0,157078000,33317999.0,214208000.0,6360000000.0,531741000
BANB.SW,2021,41.12,0,833671000.0,1298496000.0,552135000.0,156466000,28423000.0,177498000.0,11550000000.0,503234000
BALN.SW,2023,0.29,0,2797100000.0,77872800000.0,4808300000.0,445000000,76000000.0,74613500000.0,7090000000.0,7035700000
BALN.SW,2022,0.32,0,5241700000.0,77994600000.0,4898200000.0,440400000,79000000.0,74577200000.0,6970000000.0,5983700000
BALN.SW,2021,0.38,0,6094100000.0,89155100000.0,6809700000.0,838200000,98100000.0,81855200000.0,7340000000.0,10079500000
BALN.SW,2020,0.37,0,6160300000.0,87686800000.0,6983000000.0,660200000,97400000.0,80701100000.0,8040000000.0,8577200000
BCGE.SW,2023,0.7,0,13943896000.0,30269565000.0,1291208000.0,292532000,20332000.0,28086039000.0,1900000000.0,589876000
BCGE.SW,2022,0.42,0,7540168000.0,30034414000.0,1097768000.0,228286000,18717000.0,28050763000.0,1370000000.0,514315000
BCGE.SW,2021,0.39,0,6565997000.0,28293691000.0,952778000.0,171169000,16847000.0,26466469000.0,1240000000.0,468418000
