Company;ISIN;Symbol;Valor Number;Country;Traded Currency;Trading platform;Class of Share;Nominal Value;Listing Segment;Accounting Rules;Next General Meeting;Annual closing date;Auditors;Sustainability report opting in;International recognized standard;Primary listing;Opting Clause
Castle Private Equity AG;CH0048854746;CPEN;4885474;CH;CHF;XSWX;Registered Share;0.05;Standard for Investment Companies;IFRS;13.05.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Out
Cembra Money Bank AG;CH0225173167;CMBN;22517316;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;US GAAP;24.04.2025;31.12.;KPMG AG - CH[501403];Yes;Global Reporting Initiative (GRI);TRUE;
Chocoladefabriken Lindt & Sprüngli AG;CH0010570759;LISN;1057075;CH;CHF;XSWX;Registered Share;100.00;International Reporting Standard;IFRS;16.04.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Chocoladefabriken Lindt & Sprüngli AG;CH0010570767;LISP;1057076;CH;CHF;XSWX;Participation Certificate;10.00;International Reporting Standard;IFRS;16.04.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
CI Com SA;CH0001625810;CIE;162581;CH;CHF;XSWX;Bearer Share;20.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;;No;;TRUE;Out
Cicor Technologies Ltd.;CH0008702190;CICN;870219;CH;CHF;XSWX;Registered Share;10.00;Swiss Reporting Standard;Swiss GAAP FER;17.04.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;
Clariant AG;CH0012142631;CLN;1214263;CH;CHF;XSWX;Registered Share;1.76;International Reporting Standard;IFRS;01.04.2025;31.12.;KPMG  AG Zürich - CH[059826];No;;TRUE;
COLTENE Holding AG;CH0025343259;CLTN;2534325;CH;CHF;XSWX;Registered Share;0.10;Swiss Reporting Standard;Swiss GAAP FER;23.04.2025;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
Comet Holding AG;CH0360826991;COTN;36082699;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;10.04.2025;31.12.;Ernst & Young AG - CH[500646];Yes;Global Reporting Initiative (GRI);TRUE;
Compagnie de Saint-Gobain;FR0000125007;GOB;490580;FR;CHF;XSWX;Bearer Share;4.00;International Reporting Standard;;;;PricewaterhouseCoopers Audit - FR;No;;FALSE;
Compagnie Financière Richemont SA;CH0210483332;CFR;21048333;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;10.09.2025;31.03.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);TRUE;
Compagnie financière Tradition SA;CH0014345117;CFT;1434511;CH;CHF;XSWX;Bearer Share;2.50;International Reporting Standard;IFRS;22.05.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;
COSMO Pharmaceuticals N.V.;NL0011832936;COPN;32590356;NL;CHF;XSWX;Registered Share;0.26;International Reporting Standard;IFRS;30.05.2025;31.12.;Deloitte Accountants BV - NL;No;;TRUE;Out
CPH Group AG;CH0001624714;CPHN;162471;CH;CHF;XSWX;Registered Share;0.15;Swiss Reporting Standard;Swiss GAAP FER;18.03.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Out
Curatis Holding AG;CH1330780979;CURN;133078097;CH;CHF;XSWX;Registered Share;0.10;Swiss Reporting Standard;Swiss GAAP FER;23.05.2025;31.12.;FORVIS MAZARS SA - CH[500241];No;;TRUE;Out
Dätwyler Holding AG;CH0030486770;DAE;3048677;CH;CHF;XSWX;Bearer Share;0.05;Swiss Reporting Standard;Swiss GAAP FER;18.03.2025;31.12.;KPMG AG - CH[501403];Yes;Global Reporting Initiative (GRI);TRUE;
DKSH Holding AG;CH0126673539;DKSH;12667353;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;27.03.2025;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;Up
DocMorris AG;CH0042615283;DOCM;4261528;CH;CHF;XSWX;Registered Share;30.00;International Reporting Standard;IFRS;08.05.2025;31.12.;Ernst & Young AG - CH[500646];Yes;Global Reporting Initiative (GRI);TRUE;
dormakaba Holding AG;CH0011795959;DOKA;1179595;CH;CHF;XSWX;Registered Share;0.10;Swiss Reporting Standard;Swiss GAAP FER;21.10.2025;30.06.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Out
Dottikon ES Holding AG;CH0582581713;DESN;58258171;CH;CHF;XSWX;Registered Share;0.01;Swiss Reporting Standard;Swiss GAAP FER;04.07.2025;31.03.;KPMG AG - CH[501403];No;;TRUE;Out
Edisun Power Europe AG;CH0024736404;ESUN;2473640;CH;CHF;XSWX;Registered Share;30.00;Swiss Reporting Standard;Swiss GAAP FER;02.05.2025;31.12.;BDO AG - CH[500705];No;;TRUE;
EEII AG;CH0007162958;EEII;716295;CH;CHF;XSWX;Bearer Share;7.10;Standard for Investment Companies;IFRS;07.03.2025;31.12.;FORVIS MAZARS SA - CH[500241];No;;TRUE;Out
EFG International AG;CH0022268228;EFGN;2226822;CH;CHF;XSWX;Registered Share;0.50;International Reporting Standard;IFRS;21.03.2025;13.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Eli Lilly and Company;US5324571083;LLY;947556;US;CHF;XSWX;Registered Share;0.00;International Reporting Standard;;;;Ernst & Young LLP - US;No;;FALSE;
Elma Electronic AG;CH0005319162;ELMN;531916;CH;CHF;XSWX;Registered Share;11.00;Swiss Reporting Standard;Swiss GAAP FER;24.04.2025;31.12.;BDO AG - CH[500705];No;;TRUE;
Emmi AG;CH0012829898;EMMN;1282989;CH;CHF;XSWX;Registered Share;10.00;Swiss Reporting Standard;Swiss GAAP FER;10.04.2025;31.12.;KPMG AG - CH[501403];Yes;Global Reporting Initiative (GRI);TRUE;
Ems-Chemie Holding AG;CH0016440353;EMSN;1644035;CH;CHF;XSWX;Registered Share;0.01;International Reporting Standard;IFRS;09.08.2025;31.12.;BDO AG - CH[500705];Yes;Global Reporting Initiative (GRI);TRUE;Out
EPH European Property Holdings Plc;CY0109992111;EPH;117016316;CY;EUR;XSWX;Registered Share;0.93;Standard for Real Estate Companies;IFRS;17.06.2025;31.12.;Deloitte AG - CH[500420];No;;TRUE;
EPIC Suisse AG;CH0516131684;EPIC;51613168;CH;CHF;XSWX;Registered Share;0.04;Standard for Real Estate Companies;IFRS;28.03.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;Out
Evolva Holding SA;CH1262055788;EVE;126205578;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;27.03.2025;31.12.;FORVIS MAZARS SA - CH[500241];No;;TRUE;
Fangda Carbon New Material Co.,Ltd;US30712D1072;FDCB;123814773;10;USD;XSWX;Bearer Share;1.00;Standard for Depository Receipts;China;;31.12.;Baker Tilly China Certified Public Accountants LLP - CN;No;;TRUE;
Feintool International Holding AG;CH0009320091;FTON;932009;CH;CHF;XSWX;Registered Share;10.00;International Reporting Standard;IFRS;29.04.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;
Flughafen Zürich AG;CH0319416936;FHZN;31941693;CH;CHF;XSWX;Registered Share;10.00;International Reporting Standard;IFRS;14.04.2025;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;Up
Forbo Holding AG;CH0003541510;FORN;354151;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;04.04.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;
Fundamenta Real Estate AG;CH0045825517;FREN;4582551;CH;CHF;XSWX;Registered Share;6.00;Standard for Real Estate Companies;Swiss GAAP FER;09.04.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Galderma Group AG;CH1335392721;GALD;133539272;CH;CHF;XSWX;Registered Share;0.01;International Reporting Standard;IFRS;23.04.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;
Galenica AG;CH0360674466;GALE;36067446;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;10.04.2025;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
