,date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,distressed
255,2021-06-30,DOKA.SW,CHF,0,2021-06-30,2021-06-29 20:00:00,2020,FY,2499700000,1464300000,1035400000,0.4142097052,101100000.0,272300000.0,404700000.0,677000000.0,0.0,778100000,2242400000,900000.0,23300000.0,78800000.0,351600000,0.1344561347,257300000,0.10293235190000001,-24700000,249500000,0.0998119774,56300000.0,100800000,0.040324839,24.21,24.12,4163010,4178883,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
256,2024-03-31,DESN.SW,CHF,0,2024-03-31,2024-03-29 20:00:00,2023,FY,326270000,216497000,109773000,0.33644834030000004,21092000.0,5861000.0,0.0,-1246000.0,0.0,20674000,236454000,3818000.0,943000.0,20638000.0,114047000,0.3495479204,89816000,0.2752812088,2655000,92471000,0.283418641,11845000.0,80626000,0.24711435310000002,5.84,5.84,13815658,13815658,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
257,2023-03-31,DESN.SW,CHF,0,2023-03-31,2023-03-30 20:00:00,2022,FY,319452000,194632000,124820000,0.3907316279,19820000.0,5115000.0,-2967000.0,2148000.0,-2794000.0,24762000,219394000,341000.0,2119000.0,20572000.0,116646000,0.3776154164,100058000,0.3132176352,-6103000,93955000,0.2941130436,6501000.0,87714000,0.27457646220000004,6.35,6.35,13811874,13811874,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
258,2022-03-31,DESN.SW,CHF,0,2022-03-31,2022-03-30 20:00:00,2021,FY,251933000,159188000,92745000,0.3681335911,18869000.0,4366000.0,-1763000.0,2603000.0,0.0,21472000,180660000,2705000.0,391000.0,26968000.0,96660000,0.389948915,71273000,0.2829045818,-1972000,69301000,0.2750771038,10430000.0,59289000,0.23533637910000002,4.29,4.29,13809038,13809038,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
259,2021-03-31,DESN.SW,CHF,0,2021-03-31,2021-03-30 20:00:00,2020,FY,218895000,139638000,79257000,0.36207770850000004,18894000.0,3131000.0,-2226000.0,905000.0,0.0,19799000,159437000,673000.0,17000.0,19146000.0,80418000,0.35909454300000004,59458000,0.2716279495,616000,61255000,0.2798373649,8918000.0,52315000,0.2389958656,4.15,4.15,12605093,12605093,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
260,2024-12-31,DAE.SW,CHF,0,2024-12-31,2024-12-31 00:00:00,2024,FY,1107700000,869400000,238300000,0.21513045050000001,42600000.0,67900000.0,32300000.0,100200000.0,15300000.0,158100000,1027500000,1800000.0,10700000.0,80500000.0,143500000,0.1295477115,80200000,0.072402275,-27900000,52300000,0.047214949900000004,21200000.0,31100000,0.0280761939,0.0,0.0,17000000,17000000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
261,2023-12-31,DAE.SW,CHF,0,2023-12-31,2023-12-30 19:00:00,2023,FY,1151500000,911300000,240200000,0.20859748150000001,41500000.0,66900000.0,32600000.0,99500000.0,-21200000.0,119800000,1031100000,800000.0,15300000.0,80200000.0,187200000,0.1625705601,120400000,0.10455927050000001,-28700000,91700000,0.0796352584,24900000.0,66800000,0.0580112896,3.93,3.93,17000000,17000000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
262,2022-12-31,DAE.SW,CHF,0,2022-12-31,2022-12-30 19:00:00,2022,FY,1150600000,895400000,255200000,0.2217973231,35700000.0,56700000.0,34400000.0,91300000.0,0.0,127000000,1022400000,300000.0,10100000.0,75100000.0,222100000,0.17669042240000002,128199999,0.1114201278,-12300000,136900000,0.118981401,32100000.0,104800000,0.0910829133,6.16,6.16,17000000,17000000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
263,2021-12-31,DAE.SW,CHF,0,2021-12-31,2021-12-30 19:00:00,2021,FY,947600000,700000000,247600000,0.2612916843,27200000.0,49700000.0,31100000.0,80800000.0,0.0,108000000,808000000,2300000.0,2300000.0,66000000.0,205600000,0.2169691853,139600000,0.1473195441,-2300000,158100000,0.1668425496,34400000.0,194000000,0.2047277332,11.41,11.41,17000000,17000000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
264,2023-12-31,ESUN.SW,CHF,0,2023-12-31,2023-12-29 19:00:00,2023,FY,17450000,2221000,15229000,0.8727220630000001,0.0,2170000.0,52000.0,4493000.0,-11114000.0,-6621000,-6621000,428000.0,5353000.0,6626000.0,35356000,2.0261318052,24071000,1.3794269341,427000,24498000,1.4038968481,1145000.0,23353000,1.3382808023,22.55,22.55,1035821,1035821,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
265,2022-12-31,ESUN.SW,CHF,0,2022-12-31,2022-12-30 19:00:00,2022,FY,18806000,1838000,16968000,0.9022652345000001,0.0,1339000.0,5000.0,3643000.0,0.0,3643000,9583000,157000.0,3161000.0,5940000.0,14154000,0.8062852281,9223000,0.4904285866,3683000,11689000,0.6215569499,1464000.0,10225000,0.5437094544000001,9.87,9.87,1035821,1035821,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
266,2021-12-31,ESUN.SW,CHF,0,2021-12-31,2021-12-30 19:00:00,2021,FY,17065000,1736000,15329000,0.8982713156000001,0.0,761000.0,8000.0,3330000.0,0.0,3330000,9405000,2144000.0,3151000.0,6075000.0,13044000,0.8048637562000001,7660000,0.44887196020000003,-2141000,5519000,0.3234104893,1010999.0,4508000,0.2641664225,4.35,4.35,1035821,1035821,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
267,2020-12-31,ESUN.SW,CHF,0,2020-12-31,2020-12-30 19:00:00,2020,FY,11743000,1363000,10380000,0.8839308524,0.0,600000.0,10000.0,2795000.0,0.0,2795000,7249000,1488000.0,2412000.0,4454000.0,8700000,0.7619858639,4494000,0.3826960743,-1035000,3770000,0.3210423231,476000.0,3294000,0.28050753640000003,3.18,3.18,1035821,1035821,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
268,2023-12-31,EEII.SW,CHF,0,2023-12-31,2023-12-30 19:00:00,2023,FY,5705,131902,-126197,-22.1204206836,0.0,199031.0,0.0,199031.0,-325228.0,-126197,417573,0.0,7550.0,384830.0,-17202,-3.0152497809,-402032,-70.4701139351,-17202,-419234,-73.485363716,0.0,-419234,-73.485363716,-0.27,-0.27,1527514,1527510,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
269,2022-12-31,EEII.SW,CHF,0,2022-12-31,2022-12-30 19:00:00,2022,FY,1323,14720,-13397,-10.1262282691,0.0,202611.0,0.0,202611.0,86899.0,289510,304230,0.0,44573.0,6536557.0,-303526,-229.4225245654,-6232946,-4711.2214663643,-348803,-6581749,-4974.8669690098,304230.0,-6885979,-5204.8216175359,-4.51,-4.51,1527510,1527510,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
270,2021-12-31,EEII.SW,CHF,0,2021-12-31,2021-12-30 19:00:00,2021,FY,202947,14517,188430,0.9284690092000001,0.0,294017.0,0.0,294017.0,88046.0,382063,396580,19234.0,20228.0,-2409075.0,-25486,-0.9800144865,2800397,13.7986617196,-416808,2383589,11.7448841323,416808.0,2383589,11.7448841323,1.56,1.56,1527510,1527510,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
271,2020-12-31,EEII.SW,CHF,0,2020-12-31,2020-12-30 19:00:00,2020,FY,263040,14523,248517,0.944787865,0.0,247932.0,0.0,247932.0,97854.0,345786,360309,27547.0,35238.0,2839683.0,-131570,-0.5001900852,-131570,-0.5001900852,-395571,-2909222,-11.0599984793,2777652.0,-5686874,-21.6198068735,-3.7199999999999998,-3.7199999999999998,1527510,1527510,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
