,date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,distressed
193,2023-12-31,CPEN.SW,USD,0,2023-12-31,2023-12-30 19:00:00,2023,FY,3994000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5792000,9786000.0,0.0,0.0,0.0,0.0,0.0,0.0,-23000.0,0.0,0.0,0.0,-22562000.0,-22585000.0,-20000.0,-12819000,7974000,20793000,9786000.0,0.0,9786000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
194,2022-12-31,CPEN.SW,USD,0,2022-12-31,2022-12-30 19:00:00,2022,FY,-17375000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,17375000,-17375000.0,0.0,0.0,0.0,0.0,0.0,26827000.0,0.0,0.0,0.0,-25369000.0,-25369000.0,-25369000.0,20000.0,-15897000,20793000,36690000,-17375000.0,0.0,-17375000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
195,2021-12-31,CPEN.SW,USD,0,2021-12-31,2021-12-30 19:00:00,2021,FY,25407000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10235000,35642000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1177000.0,-33599000.0,-5000.0,-34781000.0,-38000.0,823000,36690000,35867000,35642000.0,0.0,35642000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
196,2024-12-31,CMBN.SW,CHF,0,2024-12-31,2024-12-31 00:00:00,2024,FY,170397000,26825000.0,0,0.0,12677000.0,4777000.0,0.0,0.0,7900000.0,50746000,260645000.0,-10300000.0,0.0,-210083000.0,120000000.0,-12183000.0,-112566000.0,-200016000.0,0.0,-2117000.0,-117394000.0,30897000.0,-288630000.0,0.0,-140551000,817871000,958422000,260645000.0,-10300000.0,250345000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
197,2023-12-31,CMBN.SW,CHF,0,2023-12-31,2023-12-29 19:00:00,2023,FY,158033000,27496000.0,0,595000.0,15554000.0,0.0,0.0,0.0,15554000.0,-13147000,188531000.0,-8965000.0,0.0,-230000000.0,229476000.0,-223949000.0,-233438000.0,485000000.0,0.0,-1080000.0,-115930000.0,-15100000.0,352890000.0,0.0,307981000,958422000,650441000,188531000.0,-8965000.0,179566000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
198,2022-12-31,CMBN.SW,CHF,0,2022-12-31,2022-12-30 19:00:00,2022,FY,169300000,25955000.0,-52380000,470000.0,-5054000.0,0.0,0.0,0.0,-5054000.0,105130000,243421000.0,-11772000.0,-50638000.0,-149111000.0,-255781000.0,-4568000.0,-471870000.0,-97855000.0,0.0,-2997000.0,-112971000.0,315757000.0,297644000.0,1000.0,69196000,650441000,581245000,243421000.0,-11772000.0,231649000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
199,2021-12-31,CMBN.SW,CHF,0,2021-12-31,2021-12-30 19:00:00,2021,FY,161495000,25045000.0,-50184000,94000.0,-51951000.0,0.0,0.0,0.0,-51951000.0,90110000,174609000.0,-9968000.0,0.0,0.0,8209000.0,36209000.0,34450000.0,-75216000.0,0.0,-511000.0,-110181000.0,-72727000.0,-258635000.0,-1000.0,-49577000,581245000,630822000,174609000.0,-9968000.0,164641000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
200,2024-12-31,LISP.SW,CHF,0,2024-12-31,2024-12-31 00:00:00,2024,FY,672300000,297300000.0,0,0.0,143800000.0,-155200000.0,5800000.0,0.0,293200000.0,68600000,1182000000.0,-314000000.0,0.0,0.0,0.0,2000000.0,-312000000.0,185000000.0,188400000.0,-304900000.0,-321700000.0,-77000000.0,-330200000.0,12500000.0,552300000,1014500000,462200000,1182000000.0,-314000000.0,868000000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
201,2023-12-31,LISP.SW,CHF,0,2023-12-31,2023-12-29 19:00:00,2023,FY,671400000,267500000.0,0,0.0,-154800000.0,-125600000.0,-116200000.0,35400000.0,51600000.0,-5500000,778600000.0,-301800000.0,0.0,0.0,0.0,800000.0,-301000000.0,5600000.0,110600000.0,-593900000.0,-303600000.0,-74200000.0,-855500000.0,-24500000.0,-402400000,462200000,864600000,778600000.0,-301800000.0,476800000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
202,2022-12-31,LISP.SW,CHF,0,2022-12-31,2022-12-30 19:00:00,2022,FY,569700000,265000000.0,3800000,16000000.0,-124700000.0,-96500000.0,-140600000.0,62300000.0,50100000.0,26200000,756000000.0,-229700000.0,1500000.0,0.0,249900000.0,100000.0,21800000.0,-8100000.0,83500000.0,-551400000.0,-284100000.0,-75400000.0,-835500000.0,-14900000.0,-72600000,864600000,937200000,756000000.0,-229700000.0,526300000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
