year,marketcap,Change,symbol
2014,6370000000,-16.82%,SIKA.SW
2013,7660000000,55.16%,SIKA.SW
2012,4940000000,21.99%,SIKA.SW
2011,4040000000,-14.22%,SIKA.SW
2010,4720000000,43.74%,SIKA.SW
2009,3280000000,83.73%,SIKA.SW
2008,1780000000,-55.96%,SIKA.SW
2007,4050000000,21.76%,SIKA.SW
2006,3330000000,87.09%,SIKA.SW
2005,1780000000,38.52%,SIKA.SW
2004,1280000000,40.83%,SIKA.SW
2003,910000000,,SIKA.SW
2025,1830000000,-5.96%,SKAN.SW
2024,1940000000,-9.81%,SKAN.SW
2023,2160000000,40.92%,SKAN.SW
2022,1530000000,-29.67%,SKAN.SW
2021,2180000000,,SKAN.SW
2025,25360000000,18.21%,SLHN.SW
2024,21450000000,9.41%,SLHN.SW
2023,19600000000,25.91%,SLHN.SW
2022,15570000000,-17.59%,SLHN.SW
2021,18890000000,27.05%,SLHN.SW
2020,14870000000,-6.95%,SLHN.SW
2019,15980000000,22.86%,SLHN.SW
2018,13010000000,15.74%,SLHN.SW
2017,11240000000,24.66%,SLHN.SW
2016,9010000000,3.19%,SLHN.SW
2015,8730000000,14.6%,SLHN.SW
2014,7620000000,14.55%,SLHN.SW
2013,6650000000,56.73%,SLHN.SW
2012,4240000000,45.09%,SLHN.SW
2011,2920000000,-36.59%,SLHN.SW
2010,4610000000,13.58%,SLHN.SW
2009,4060000000,92.21%,SLHN.SW
2008,2110000000,-74.21%,SLHN.SW
2007,8200000000,-2.01%,SLHN.SW
2006,8360000000,37.18%,SLHN.SW
2005,6100000000,,SLHN.SW
2025,390000000,12.06%,SNBN.SW
2024,350000000,-30.86%,SNBN.SW
2023,510000000,-1.36%,SNBN.SW
2022,510000000,-9.59%,SNBN.SW
2021,570000000,8.03%,SNBN.SW
2020,530000000,-4.6%,SNBN.SW
2019,550000000,31.89%,SNBN.SW
2018,420000000,5.64%,SNBN.SW
2017,390000000,132.49%,SNBN.SW
2016,170000000,54.44%,SNBN.SW
2015,110000000,3.74%,SNBN.SW
2014,100000000,-8.96%,SNBN.SW
2013,110000000,4.56%,SNBN.SW
2012,110000000,11.59%,SNBN.SW
2011,100000000,-4.71%,SNBN.SW
2010,100000000,10.22%,SNBN.SW
2009,96110000,-2.21%,SNBN.SW
2008,98280000,-20.53%,SNBN.SW
2007,120000000,17.55%,SNBN.SW
2006,100000000,22.51%,SNBN.SW
2005,85870000,-2.05%,SNBN.SW
2004,87680000,10.41%,SNBN.SW
2003,79410000,-26.03%,SNBN.SW
2002,100000000,-12.05%,SNBN.SW
2001,120000000,41.05%,SNBN.SW
2000,86540000,-0.65%,SNBN.SW
1999,87110000,-15.38%,SNBN.SW
1998,100000000,0%,SNBN.SW
1997,100000000,58.26%,SNBN.SW
1996,65050000,,SNBN.SW
2025,18010000000,-8.04%,SOON.SW
2024,19590000000,0.78%,SOON.SW
2023,19440000000,34.05%,SOON.SW
2022,14500000000,-40.57%,SOON.SW
2021,24400000000,48.4%,SOON.SW
2020,16440000000,13.23%,SOON.SW
2019,14520000000,36.22%,SOON.SW
2018,10660000000,4.94%,SOON.SW
2017,10150000000,28.19%,SOON.SW
2016,7920000000,-6.63%,SOON.SW
2015,8480000000,-14.96%,SOON.SW
2014,9980000000,9.87%,SOON.SW
2013,9080000000,22.63%,SOON.SW
2012,7400000000,6.64%,SOON.SW
2011,6940000000,-18.5%,SOON.SW
2010,8520000000,76.79%,SOON.SW
2009,4820000000,,SOON.SW
2025,9470000000,12.01%,SPSN.SW
2024,8450000000,3.25%,SPSN.SW
2023,8190000000,23.22%,SPSN.SW
2022,6640000000,-10.82%,SPSN.SW
2021,7450000000,-0.46%,SPSN.SW
2020,7480000000,,SPSN.SW
2025,6530000000,13.64%,SQN.SW
2024,5740000000,54.22%,SQN.SW
2023,3720000000,72.28%,SQN.SW
2022,2160000000,-33.46%,SQN.SW
2021,3250000000,125.21%,SQN.SW
2020,1440000000,93.94%,SQN.SW
2019,740000000,8.76%,SQN.SW
2018,680000000,24.04%,SQN.SW
2017,550000000,57.83%,SQN.SW
2016,340000000,-8.25%,SQN.SW
2015,380000000,-19.29%,SQN.SW
2014,470000000,-26.53%,SQN.SW
2013,640000000,41.25%,SQN.SW
2012,450000000,-10.35%,SQN.SW
2011,500000000,-38.29%,SQN.SW
2010,820000000,12.79%,SQN.SW
2009,720000000,40.36%,SQN.SW
2008,510000000,-36.9%,SQN.SW
2007,820000000,77.6%,SQN.SW
2006,460000000,190.27%,SQN.SW
2005,150000000,30.6%,SQN.SW
2004,120000000,26.01%,SQN.SW
2003,97010000,,SQN.SW
2025,2520000000,13.69%,SRAIL.SW
2024,2210000000,-38.39%,SRAIL.SW
2023,3590000000,1.48%,SRAIL.SW
2022,3540000000,-18.86%,SRAIL.SW
2021,4360000000,-4.68%,SRAIL.SW
2020,4580000000,,SRAIL.SW
2025,49360000000,16.48%,SREN.SW
2024,42370000000,30.5%,SREN.SW
2023,32470000000,20.17%,SREN.SW
2022,27020000000,-5.35%,SREN.SW
2021,28540000000,8.26%,SREN.SW
2020,26360000000,-18.65%,SREN.SW
2019,32410000000,17.9%,SREN.SW
2018,27490000000,-8.13%,SREN.SW
2017,29920000000,-1.74%,SREN.SW
2016,30450000000,-9.24%,SREN.SW
2015,33550000000,15.87%,SREN.SW
2014,28950000000,-8.5%,SREN.SW
2013,31640000000,18.22%,SREN.SW
2012,26760000000,53.7%,SREN.SW
2011,17410000000,-5.41%,SREN.SW
2010,18410000000,11.53%,SREN.SW
2009,16500000000,-1.23%,SREN.SW
2008,16710000000,-34.32%,SREN.SW
2007,25440000000,-19.94%,SREN.SW
2006,31780000000,,SREN.SW
2025,240000000,5.12%,STGN.SW
2024,220000000,-28.96%,STGN.SW
2023,320000000,73.75%,STGN.SW
2022,180000000,8.25%,STGN.SW
2021,170000000,14.7%,STGN.SW
2020,140000000,-6.77%,STGN.SW
2019,160000000,9.1%,STGN.SW
2018,140000000,-35.01%,STGN.SW
2017,220000000,30.52%,STGN.SW
2016,170000000,10.69%,STGN.SW
2015,150000000,-28.64%,STGN.SW
2014,210000000,-23.58%,STGN.SW
2013,280000000,25.07%,STGN.SW
2012,220000000,29.24%,STGN.SW
2011,170000000,-1.3%,STGN.SW
2010,170000000,33.93%,STGN.SW
2009,130000000,7.89%,STGN.SW
2008,120000000,-26.06%,STGN.SW
2007,160000000,71.05%,STGN.SW
2006,98380000,,STGN.SW
2025,53210000,-67.79%,STLN.SW
2024,160000000,-45.74%,STLN.SW
2023,300000000,-55.58%,STLN.SW
2022,680000000,-40.4%,STLN.SW
2021,1140000000,112.8%,STLN.SW
2020,540000000,97.66%,STLN.SW
2019,270000000,-47.19%,STLN.SW
2018,510000000,-36.48%,STLN.SW
2017,810000000,29.22%,STLN.SW
2016,630000000,31.9%,STLN.SW
2015,470000000,-53.68%,STLN.SW
2014,1030000000,-11.89%,STLN.SW
2013,1170000000,216.5%,STLN.SW
2012,370000000,-45.15%,STLN.SW
2011,670000000,-36.5%,STLN.SW
2010,1060000000,49.56%,STLN.SW
2009,710000000,54.41%,STLN.SW
2008,460000000,-81.02%,STLN.SW
2007,2420000000,6.83%,STLN.SW
2006,2260000000,1424.26%,STLN.SW
2005,140000000,,STLN.SW
2025,20130000000,-0.82%,STMN.SW
2024,20290000000,-20.95%,STMN.SW
2023,25670000000,41.53%,STMN.SW
2022,18140000000,-46.2%,STMN.SW
2021,33720000000,81.35%,STMN.SW
2020,18590000000,19.45%,STMN.SW
2019,15560000000,56.48%,STMN.SW
2018,9940000000,-10.27%,STMN.SW
2017,11080000000,80.51%,STMN.SW
2016,6140000000,26.6%,STMN.SW
2015,4850000000,22.49%,STMN.SW
2014,3960000000,35.62%,STMN.SW
2013,2920000000,54.1%,STMN.SW
2012,1890000000,-28.97%,STMN.SW
2011,2660000000,-25.63%,STMN.SW
2010,3580000000,-19.08%,STMN.SW
2009,4430000000,59.48%,STMN.SW
2008,2780000000,-35.52%,STMN.SW
2007,4310000000,14.15%,STMN.SW
2006,3770000000,4.79%,STMN.SW
2005,3600000000,12.24%,STMN.SW
2004,3210000000,34.78%,STMN.SW
2003,2380000000,,STMN.SW
2025,6200000000,25.43%,SUN.SW
2024,4950000000,42.91%,SUN.SW
2023,3460000000,31.39%,SUN.SW
2022,2630000000,-20.51%,SUN.SW
2021,3310000000,-7.18%,SUN.SW
2020,3570000000,,SUN.SW
2025,1000000000,2.26%,SWON.SW
2024,980000000,-67.32%,SWON.SW
2023,3020000000,37.66%,SWON.SW
2022,2190000000,-34.45%,SWON.SW
2021,3340000000,-27.09%,SWON.SW
2020,4590000000,,SWON.SW
2025,690000000,3.65%,SWTQ.SW
2024,660000000,-24.6%,SWTQ.SW
2023,880000000,-22.51%,SWTQ.SW
2022,1130000000,-46.22%,SWTQ.SW
2021,2110000000,-10.65%,SWTQ.SW
2020,2370000000,,SWTQ.SW
2025,2500000000,-13.59%,TECN.SW
2024,2900000000,-44.4%,TECN.SW
2023,5210000000,-8.1%,TECN.SW
2022,5670000000,-26.33%,TECN.SW
2021,7700000000,31.07%,TECN.SW
2020,5870000000,76.33%,TECN.SW
2019,3330000000,46.05%,TECN.SW
2018,2280000000,-5.39%,TECN.SW
2017,2410000000,33.94%,TECN.SW
2016,1800000000,-4.74%,TECN.SW
2015,1890000000,48.23%,TECN.SW
2014,1270000000,-3.2%,TECN.SW
2013,1310000000,44.25%,TECN.SW
2012,910000000,25.75%,TECN.SW
2011,720000000,-19%,TECN.SW
2010,890000000,14.31%,TECN.SW
2009,780000000,102.9%,TECN.SW
2008,380000000,-46.7%,TECN.SW
2007,720000000,-3.59%,TECN.SW
2006,750000000,44.83%,TECN.SW
2005,510000000,37.21%,TECN.SW
2004,370000000,-40.25%,TECN.SW
2003,630000000,,TECN.SW
2025,5680000000,10.47%,TEMN.SW
2024,5140000000,-23.13%,TEMN.SW
2023,6690000000,70%,TEMN.SW
2022,3930000000,-60.84%,TEMN.SW
2021,10050000000,-0.45%,TEMN.SW
2020,10090000000,-10.01%,TEMN.SW
2019,11220000000,35.21%,TEMN.SW
2018,8290000000,-7.41%,TEMN.SW
2017,8960000000,85.43%,TEMN.SW
2016,4830000000,39.34%,TEMN.SW
2015,3460000000,47.22%,TEMN.SW
2014,2350000000,22.56%,TEMN.SW
2013,1920000000,58.67%,TEMN.SW
2012,1210000000,7.4%,TEMN.SW
2011,1120000000,,TEMN.SW
2025,160000000,15.5%,TIBN.SW
2024,140000000,-15.77%,TIBN.SW
2023,160000000,12.77%,TIBN.SW
2022,140000000,-10.32%,TIBN.SW
2021,160000000,-9.35%,TIBN.SW
2020,180000000,-23.95%,TIBN.SW
2019,230000000,-5.8%,TIBN.SW
2018,250000000,-6.66%,TIBN.SW
2017,270000000,16.88%,TIBN.SW
2016,230000000,-14.7%,TIBN.SW
2015,270000000,65.25%,TIBN.SW
2014,160000000,37.29%,TIBN.SW
2013,110000000,8.56%,TIBN.SW
2012,110000000,59.77%,TIBN.SW
2011,69130000,13.1%,TIBN.SW
2010,61120000,20.6%,TIBN.SW
2009,50680000,14.41%,TIBN.SW
2008,44290000,-12.85%,TIBN.SW
2007,50830000,48.13%,TIBN.SW
2006,34310000,9.7%,TIBN.SW
2005,31280000,3.59%,TIBN.SW
2004,30190000,30.94%,TIBN.SW
2003,23060000,,TIBN.SW
2025,640000000,15.79%,TKBP.SW
2024,560000000,-1.35%,TKBP.SW
2023,560000000,10.34%,TKBP.SW
2022,510000000,10.52%,TKBP.SW
2021,460000000,-1.67%,TKBP.SW
2020,470000000,5.34%,TKBP.SW
2019,450000000,9.59%,TKBP.SW
2018,410000000,-1.68%,TKBP.SW
2017,410000000,20.22%,TKBP.SW
2016,340000000,7.63%,TKBP.SW
2015,320000000,,TKBP.SW
2025,2200000000,4.88%,TXGN.SW
2024,2100000000,37.98%,TXGN.SW
2023,1520000000,-10.27%,TXGN.SW
2022,1690000000,-6.41%,TXGN.SW
2021,1810000000,113.11%,TXGN.SW
2020,850000000,-16.94%,TXGN.SW
2019,1020000000,-9.75%,TXGN.SW
2018,1130000000,-24.39%,TXGN.SW
2017,1500000000,-7.49%,TXGN.SW
2016,1620000000,-11.52%,TXGN.SW
2015,1830000000,34.82%,TXGN.SW
2014,1360000000,5.55%,TXGN.SW
2013,1280000000,10.72%,TXGN.SW
2012,1160000000,-9.19%,TXGN.SW
2011,1280000000,-6.85%,TXGN.SW
2010,1370000000,77.81%,TXGN.SW
2009,770000000,52.27%,TXGN.SW
2008,500000000,-63.06%,TXGN.SW
2007,1370000000,4.27%,TXGN.SW
2006,1310000000,35.72%,TXGN.SW
2005,970000000,5.58%,TXGN.SW
2004,920000000,3.5%,TXGN.SW
2003,880000000,,TXGN.SW
2025,103830000000,6.2%,UBSG.SW
2024,97760000000,-2.14%,UBSG.SW
2023,99900000000,68.15%,UBSG.SW
2022,59410000000,-2.71%,UBSG.SW
2021,61060000000,19.25%,UBSG.SW
2020,51210000000,12.25%,UBSG.SW
2019,45620000000,-0.49%,UBSG.SW
2018,45840000000,-32.71%,UBSG.SW
2017,68140000000,17.28%,UBSG.SW
2016,58090000000,-21.57%,UBSG.SW
2015,74070000000,18.1%,UBSG.SW
2014,62720000000,-12.69%,UBSG.SW
2013,71840000000,21.8%,UBSG.SW
2012,58980000000,33.06%,UBSG.SW
2011,44320000000,-29.02%,UBSG.SW
2010,62450000000,14.38%,UBSG.SW
2009,54600000000,33.02%,UBSG.SW
2008,41050000000,-53.41%,UBSG.SW
2007,88110000000,-24.75%,UBSG.SW
2006,117080000000,150.02%,UBSG.SW
2005,46830000000,9.17%,UBSG.SW
2004,42890000000,6.66%,UBSG.SW
2003,40210000000,44.21%,UBSG.SW
2002,27880000000,-10.07%,UBSG.SW
2001,31010000000,167.33%,UBSG.SW
2000,11600000000,,UBSG.SW
2025,680000000,15.25%,UBXN.SW
2024,590000000,-29.31%,UBXN.SW
2023,840000000,1.09%,UBXN.SW
2022,830000000,56.07%,UBXN.SW
2021,530000000,15.5%,UBXN.SW
2020,460000000,-33.88%,UBXN.SW
2019,700000000,23.83%,UBXN.SW
2018,560000000,-57.77%,UBXN.SW
2017,1330000000,5.94%,UBXN.SW
2016,1260000000,-13.41%,UBXN.SW
2015,1460000000,59.45%,UBXN.SW
2014,910000000,30.9%,UBXN.SW
2013,690000000,158.65%,UBXN.SW
2012,270000000,-1.14%,UBXN.SW
2011,270000000,-18.59%,UBXN.SW
2010,330000000,112.06%,UBXN.SW
2009,150000000,38.23%,UBXN.SW
2008,110000000,-67.52%,UBXN.SW
2007,350000000,,UBXN.SW
2025,9420000000,1.46%,UHR.SW
2024,9290000000,-32.86%,UHR.SW
2023,13840000000,-2.3%,UHR.SW
2022,14160000000,-8.69%,UHR.SW
2021,15510000000,10.96%,UHR.SW
2020,13980000000,-0.51%,UHR.SW
2019,14050000000,-6.34%,UHR.SW
2018,15000000000,-28.6%,UHR.SW
2017,21010000000,23.5%,UHR.SW
2016,17010000000,-11.68%,UHR.SW
2015,19260000000,-21.84%,UHR.SW
2014,24640000000,-28.61%,UHR.SW
2013,34520000000,31.34%,UHR.SW
2012,26280000000,,UHR.SW
2002,810000000,-25.77%,UHR.SW
2001,1100000000,-23.17%,UHR.SW
2000,1430000000,12.05%,UHR.SW
1999,1280000000,88.08%,UHR.SW
1998,680000000,,UHR.SW
2025,11650000000,1.58%,VACN.SW
2024,11470000000,-23.59%,VACN.SW
2023,15010000000,83.2%,VACN.SW
2022,8190000000,-45.03%,VACN.SW
2021,14910000000,98.52%,VACN.SW
2020,7510000000,,VACN.SW
2016,1660000000,,VACN.SW
2025,300000000,-7.08%,VARN.SW
2024,320000000,-28.63%,VARN.SW
2023,450000000,-9.43%,VARN.SW
2022,500000000,-9.17%,VARN.SW
2021,550000000,22.93%,VARN.SW
2020,450000000,14.32%,VARN.SW
2019,390000000,16.29%,VARN.SW
2018,340000000,14.83%,VARN.SW
2017,290000000,23.92%,VARN.SW
2016,230000000,,VARN.SW
2025,2120000000,15.47%,VATN.SW
2024,1840000000,2.77%,VATN.SW
2023,1790000000,4.82%,VATN.SW
2022,1700000000,8.33%,VATN.SW
2021,1570000000,1.84%,VATN.SW
2020,1540000000,1.06%,VATN.SW
2019,1530000000,-14.33%,VATN.SW
2018,1780000000,4.7%,VATN.SW
2017,1700000000,9.27%,VATN.SW
2016,1560000000,-13.97%,VATN.SW
2015,1810000000,32.67%,VATN.SW
2014,1370000000,-2.88%,VATN.SW
2013,1410000000,3.15%,VATN.SW
2012,1360000000,-29.61%,VATN.SW
2011,1940000000,-19.28%,VATN.SW
2010,2400000000,-22.71%,VATN.SW
2009,3110000000,10.73%,VATN.SW
2008,2810000000,12.16%,VATN.SW
2007,2500000000,34.25%,VATN.SW
2006,1860000000,27.73%,VATN.SW
2005,1460000000,2.41%,VATN.SW
2004,1420000000,,VATN.SW
2025,410000000,2.43%,VBSN.SW
2024,400000000,25.64%,VBSN.SW
2023,310000000,2.98%,VBSN.SW
2022,310000000,-3.91%,VBSN.SW
2021,320000000,-36.54%,VBSN.SW
2020,500000000,31.71%,VBSN.SW
2019,380000000,-0.99%,VBSN.SW
2018,390000000,-12.49%,VBSN.SW
2017,440000000,-6.58%,VBSN.SW
2016,470000000,15.64%,VBSN.SW
2015,410000000,25.99%,VBSN.SW
2014,320000000,18.78%,VBSN.SW
2013,270000000,5.09%,VBSN.SW
2012,260000000,22.03%,VBSN.SW
2011,210000000,-8.94%,VBSN.SW
2010,230000000,60.34%,VBSN.SW
2009,140000000,54.3%,VBSN.SW
2008,95500000,18.85%,VBSN.SW
2007,80350000,,VBSN.SW
2025,640000000,14.83%,VETN.SW
2024,560000000,-38.98%,VETN.SW
2023,920000000,19.01%,VETN.SW
2022,770000000,-38.01%,VETN.SW
2021,1240000000,-6.91%,VETN.SW
2020,1340000000,7.89%,VETN.SW
2019,1240000000,53.58%,VETN.SW
2018,810000000,6.07%,VETN.SW
2017,760000000,-60.16%,VETN.SW
2016,1910000000,10.35%,VETN.SW
2015,1730000000,173.33%,VETN.SW
2014,630000000,-21.88%,VETN.SW
2013,810000000,7.48%,VETN.SW
2012,750000000,,VETN.SW
2007,460000000,54.17%,VETN.SW
2006,290000000,79.84%,VETN.SW
2005,160000000,1.45%,VETN.SW
2004,160000000,70.42%,VETN.SW
2003,96370000,,VETN.SW
2025,4020000000,0.93%,VONN.SW
2024,3990000000,10.41%,VONN.SW
2023,3610000000,-2.19%,VONN.SW
2022,3690000000,-23.49%,VONN.SW
2021,4830000000,8.8%,VONN.SW
2020,4430000000,,VONN.SW
2025,7370000000,16.34%,VZN.SW
2024,6330000000,38.21%,VZN.SW
2023,4580000000,50.19%,VZN.SW
2022,3050000000,-27.55%,VZN.SW
2021,4210000000,16.97%,VZN.SW
2020,3600000000,,VZN.SW
2025,480000000,37.67%,VZUG.SW
2024,350000000,-28.52%,VZUG.SW
2023,490000000,-21.76%,VZUG.SW
2022,630000000,-26.83%,VZUG.SW
2021,860000000,34.4%,VZUG.SW
2020,640000000,,VZUG.SW
2025,670000000,2.43%,WARN.SW
2024,650000000,20.58%,WARN.SW
2023,540000000,-10.45%,WARN.SW
2022,600000000,-5.27%,WARN.SW
2021,640000000,-3.92%,WARN.SW
2020,660000000,26.94%,WARN.SW
2019,520000000,36.9%,WARN.SW
2018,380000000,-3.53%,WARN.SW
2017,390000000,10.72%,WARN.SW
2016,350000000,0.91%,WARN.SW
2015,350000000,31.27%,WARN.SW
2014,270000000,-5.11%,WARN.SW
2013,280000000,-3.19%,WARN.SW
2012,290000000,1.02%,WARN.SW
2011,290000000,2.96%,WARN.SW
2010,280000000,16.6%,WARN.SW
2009,240000000,16.16%,WARN.SW
2008,210000000,2.63%,WARN.SW
2007,200000000,,WARN.SW
2025,55020000,-26.16%,WIHN.SW
2024,74510000,348.4%,WIHN.SW
2023,16610000,-48.99%,WIHN.SW
2022,32570000,-75.53%,WIHN.SW
2021,130000000,-22.74%,WIHN.SW
2020,170000000,-28.21%,WIHN.SW
2019,240000000,-20.35%,WIHN.SW
2018,300000000,-49.57%,WIHN.SW
2017,590000000,43.16%,WIHN.SW
2016,410000000,,WIHN.SW
2025,2080000000,8.95%,WKBN.SW
2024,1910000000,-5.95%,WKBN.SW
2023,2030000000,15.1%,WKBN.SW
2022,1760000000,1.68%,WKBN.SW
2021,1730000000,-7.27%,WKBN.SW
2020,1870000000,3.96%,WKBN.SW
2019,1800000000,5.11%,WKBN.SW
2018,1710000000,9.86%,WKBN.SW
2017,1550000000,249.17%,WKBN.SW
2016,440000000,-1.43%,WKBN.SW
2015,450000000,-58.82%,WKBN.SW
2014,1100000000,-12.61%,WKBN.SW
2013,1250000000,176.5%,WKBN.SW
2012,450000000,-64.2%,WKBN.SW
2011,1270000000,257.95%,WKBN.SW
2010,350000000,9.26%,WKBN.SW
2009,320000000,40.52%,WKBN.SW
2008,230000000,-7.01%,WKBN.SW
2007,240000000,5.66%,WKBN.SW
2006,230000000,,WKBN.SW
2025,130000000,-17.6%,XLS.SW
2024,150000000,-52.43%,XLS.SW
2023,330000000,95.32%,XLS.SW
2022,160000000,,XLS.SW
2025,5400000000,5.92%,YPSN.SW
2024,5100000000,3.81%,YPSN.SW
2023,4910000000,97.22%,YPSN.SW
2022,2490000000,-3.3%,YPSN.SW
2021,2570000000,21.74%,YPSN.SW
2020,2110000000,24.72%,YPSN.SW
2019,1690000000,-5.53%,YPSN.SW
2018,1790000000,-13.61%,YPSN.SW
2017,2080000000,-9.13%,YPSN.SW
2016,2290000000,37.62%,YPSN.SW
2015,1660000000,47.95%,YPSN.SW
2014,1120000000,24.36%,YPSN.SW
2013,900000000,21.48%,YPSN.SW
2012,740000000,0.64%,YPSN.SW
2011,740000000,5.55%,YPSN.SW
2010,700000000,-1.76%,YPSN.SW
2009,710000000,-8.91%,YPSN.SW
2008,780000000,-4.24%,YPSN.SW
2007,810000000,-20.96%,YPSN.SW
2006,1030000000,-40.62%,YPSN.SW
2005,1740000000,1020740.13%,YPSN.SW
2004,170000,,YPSN.SW
2025,21950000000,3.19%,ZBH.SW
2024,21270000000,-16.35%,ZBH.SW
2023,25430000000,-4.95%,ZBH.SW
2022,26750000000,0.82%,ZBH.SW
2021,26530000000,-16.91%,ZBH.SW
2020,31930000000,3.59%,ZBH.SW
2019,30830000000,45.73%,ZBH.SW
2018,21150000000,-13.4%,ZBH.SW
2017,24430000000,18.2%,ZBH.SW
2016,20670000000,-0.6%,ZBH.SW
2015,20790000000,8.04%,ZBH.SW
2014,19240000000,21.64%,ZBH.SW
2013,15820000000,38.33%,ZBH.SW
2012,11430000000,19.51%,ZBH.SW
2011,9570000000,-8.84%,ZBH.SW
2010,10490000000,-13.01%,ZBH.SW
2009,12070000000,32.97%,ZBH.SW
2008,9070000000,-41.08%,ZBH.SW
2007,15400000000,-16.99%,ZBH.SW
2006,18560000000,11.06%,ZBH.SW
2005,16710000000,-15.04%,ZBH.SW
2004,19660000000,15.26%,ZBH.SW
2003,17060000000,110.56%,ZBH.SW
2002,8100000000,36.86%,ZBH.SW
2001,5920000000,,ZBH.SW
2025,630000000,16.3%,ZEHN.SW
2024,540000000,-23.76%,ZEHN.SW
2023,720000000,3.5%,ZEHN.SW
2022,690000000,-41.18%,ZEHN.SW
2021,1180000000,51.71%,ZEHN.SW
2020,770000000,42.48%,ZEHN.SW
2019,540000000,39.49%,ZEHN.SW
2018,390000000,-16.81%,ZEHN.SW
2017,470000000,27.96%,ZEHN.SW
2016,360000000,-18.62%,ZEHN.SW
2015,450000000,-7.09%,ZEHN.SW
2014,480000000,-9.54%,ZEHN.SW
2013,530000000,-4.77%,ZEHN.SW
2012,560000000,5.96%,ZEHN.SW
2011,530000000,-9.86%,ZEHN.SW
2010,590000000,80.73%,ZEHN.SW
2009,320000000,63.18%,ZEHN.SW
2008,200000000,-50.35%,ZEHN.SW
2007,400000000,-7.46%,ZEHN.SW
2006,430000000,52.18%,ZEHN.SW
2005,280000000,-13.32%,ZEHN.SW
2004,330000000,68.06%,ZEHN.SW
2003,190000000,,ZEHN.SW
2025,130000000,6.62%,ZUBN.SW
2024,120000000,22.58%,ZUBN.SW
2023,100000000,13.37%,ZUBN.SW
2022,90440000,-7%,ZUBN.SW
2021,97250000,-6.31%,ZUBN.SW
2020,100000000,12.34%,ZUBN.SW
2019,92400000,5.36%,ZUBN.SW
2018,87700000,-3.6%,ZUBN.SW
2017,90980000,40.01%,ZUBN.SW
2016,64980000,1112.76%,ZUBN.SW
2015,5350000,-92.94%,ZUBN.SW
2014,75850000,-39.37%,ZUBN.SW
2013,120000000,-28.93%,ZUBN.SW
2012,170000000,16.58%,ZUBN.SW
2011,150000000,-27.31%,ZUBN.SW
2010,200000000,1.38%,ZUBN.SW
2009,200000000,-2.1%,ZUBN.SW
2008,200000000,-46.12%,ZUBN.SW
2007,380000000,25.79%,ZUBN.SW
2006,300000000,34.4%,ZUBN.SW
2005,220000000,,ZUBN.SW
2025,2840000000,9.47%,ZUGER.SW
2024,2590000000,0.64%,ZUGER.SW
2023,2570000000,14.25%,ZUGER.SW
2022,2250000000,6.35%,ZUGER.SW
2021,2120000000,1.6%,ZUGER.SW
2020,2080000000,,ZUGER.SW
2025,2290000000,5.94%,ZUGN.SW
2024,2160000000,18.56%,ZUGN.SW
2023,1820000000,-0.35%,ZUGN.SW
2022,1830000000,-11.68%,ZUGN.SW
2021,2070000000,-5.89%,ZUGN.SW
2020,2200000000,,ZUGN.SW
2025,98340000000,14.19%,ZURN.SW
2024,86120000000,12.65%,ZURN.SW
2023,76450000000,7.8%,ZURN.SW
2022,70920000000,8.99%,ZURN.SW
2021,65070000000,3.43%,ZURN.SW
2020,62910000000,3.65%,ZURN.SW
2019,60690000000,38.32%,ZURN.SW
2018,43880000000,-3.58%,ZURN.SW
2017,45510000000,10.55%,ZURN.SW
2016,41160000000,5.53%,ZURN.SW
2015,39010000000,-16.6%,ZURN.SW
2014,46770000000,8.78%,ZURN.SW
2013,43000000000,8.72%,ZURN.SW
2012,39550000000,19.85%,ZURN.SW
2011,33000000000,-12.3%,ZURN.SW
2010,37620000000,18.42%,ZURN.SW
2009,31770000000,6.64%,ZURN.SW
2008,29790000000,-27.38%,ZURN.SW
2007,41030000000,5.53%,ZURN.SW
2006,38880000000,26.9%,ZURN.SW
2005,30640000000,27.99%,ZURN.SW
2004,23940000000,15.49%,ZURN.SW
2003,20720000000,0%,ZURN.SW
2002,20720000000,-26.76%,ZURN.SW
2001,28290000000,-69.48%,ZURN.SW
2000,92710000000,,ZURN.SW
