,0,1,2,3,4,todo,comment
otherInvestingActivites,54000000,154000000,201000000,82000000,91000000,keep,
netCashUsedForInvestingActivites,-3206000000,-1207000000,-1046000000,-1317000000,-725000000,keep,
debtRepayment,5506000000,-46000000,-1179000000,-1144000000,-589000000,keep,
commonStockIssued,0,0,0,0,451000000,keep,
commonStockRepurchased,-1801000000,-33000000,-1464000000,-2199000000,-1247000000,keep,
dividendsPaid,-1982000000,-3311000000,-3369000000,-3420000000,-1769000000,keep,
otherFinancingActivites,-625000000,243000000,661000000,619000000,-172000000,keep,
netCashUsedProvidedByFinancingActivities,1098000000,-3147000000,-5350000000,-6145000000,-3326000000,keep,
effectOfForexChangesOnCash,-44000000,-48000000,-104000000,-62000000,-207000000,keep,
netChangeInCash,-333000000,2278000000,-909000000,-70000000,417000000,keep,
cashAtEndOfPeriod,5600000000,5933000000,3655000000,4564000000,4326000000,keep,
cashAtBeginningOfPeriod,5933000000,3655000000,4564000000,4634000000,3909000000,keep,
operatingCashFlow,1819000000,6680000000,5591000000,7454000000,4675000000,keep,
capitalExpenditure,-1181000000,-1615000000,-1749000000,-1603000000,-845000000,keep,
freeCashFlow,638000000,5065000000,3842000000,5851000000,3830000000,keep,
link_y,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,drop,
finalLink_y,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,drop,
distressed_y,0,0,0,0,0,drop,
Unnamed: 0,0,1,2,3,4,drop,
reportedCurrency,USD,USD,USD,USD,USD,check,currency of income_statement
cik,0,0,0,0,0,drop,
